Url: ,https://www.zomato.com/mumbai/burger-king-dadar-west/order
Chicken Makhani Burst Burger,109 rupee,"Enjoy Makhani Flavour With Crispy Chicken Patty Topped With Onion. Qty: 125 gms| Kcal: 327 | Carbs: 50 gms| Sugar: 6 gms| Fat: 13 gms| Saturated fat: 7 gms| Protein: 2 gms| Sodium: 663 mg Contains: Gluten, Soybean, Milk, Sesame seeds"
Crispy Veg Double Patty Burger,99 rupee,"Double Masaledar Veg Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 204 Gms| Kcal: 531.4 | Carbs 70.6 Gms| Sugar: 9.1 Gms| Fat: 22.7 Gms| Saturated fat: 9.2 Gms| Protein: 11.2 Gms| Sodium: 1068 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
Crispy Chicken Double Patty Burger.,139 rupee,"Our best-selling burger with crispy chicken patty, onion and classic mayo sauce."
Veg Crunchy Taco,90 rupee,"Crunchy Taco Shell Filled With Beans & Veg Mix, Chef'S Secret Sauce, Onion & Lettuce. Qty: 105 Gms| Kcal: 336.1 | Carbs 33.7 Gms| Sugar: 7.1 Gms| Fat: 20.8 Gms| Saturated fat: 13.9 Gms| Protein: 3.6 Gms| Sodium: 589.6 Mg Contains: Soybean, Milk"
Crunchy Chicken Taco.,119 rupee,"Crunchy Taco Shell With Chicken Patty, Veggies And Spicy Sauce. Qty: 135 Gms| Kcal: 262 | Carbs 24.8 Gms| Sugar: 2.9 Gms| Fat: 16 Gms| Saturated fat: 5.5 Gms| Protein: 5.1 Gms| Sodium: 525.9 Mg Contains: Soybean, Milk"
Crispy Veg Double Patty Burger with Double Cheese Slice.,149 rupee,
Chicken Makhani Burst Burger with Cheese.,134 rupee,
Veg Makhani Burst Double Cheese Burger.,130 rupee,
Crispy Chicken Triple Cheese Burger.,174 rupee,
BK Veggie Burger.,139 rupee,"BK Veg Patty, Lettuce, Tomato(Seasonal) & Our Signature Mayo Sauce. Qty: 152 Gms| Kcal: 352.5 | Carbs 45.4 Gms| Sugar: 7.8 Gms| Fat: 13.6 Gms| Saturated fat: 4.7 Gms| Protein: 12 Gms| Sodium: 593.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
BK Chicken Burger.,149 rupee,"BK Chicken Patty, Lettuce, Tomato(Seasonal) & Our Signature Mayo Sauce. Qty: 164 Gms| Kcal: 415 | Carbs 39 Gms| Sugar: 7.2 Gms| Fat: 21.2 Gms| Saturated fat: 7.2 Gms| Protein: 17 Gms| Sodium: 283.9 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
BK Veggie Triple Cheese Burger.,214 rupee,
Paneer Royale Burger.,299 rupee,"60 gm Paneer Patty, Sauces In premium Brioche Buns"
Fiery Chicken Burger.,299 rupee,"Spicy Fried Chicken, Loads Of Sauces In premium Brioche Buns"
"Paneer Royale Wrap,",229 rupee,"Qty: 234 Gms | Kcal: 676.2 | Carbs 63.2 Gms | Sugar: 9.7 Gms | Fat: 35.6 Gms | Saturated fat: 18 Gms | Protein: 25.3 Gms | Sodium: 1077.9 Mg Contains: Gluten, Soybean , Milk"
"Hot 'N' Cheesy Burger,",299 rupee,"Chilli Creamy Patty, Spicy Sauce, in premium Brioche buns."
"Crunchy Chicken Wrap,",229 rupee,"Qty: 252 Gms | Kcal: 483.8 | Carbs 50.6 Gms | Sugar: 9.3 Gms | Fat: 22.5 Gms | Saturated fat: 8.2 Gms | Protein: 19.8 Gms | Sodium: 1176.5 Mg Contains: Gluten, Soybean , Milk"
"Chicken Tandoori Burger,",299 rupee,"Flame Grilled Tandoori Chicken, Veg Khurchan in premium Brioche buns."
"Korean Spicy Paneer Burger,",299 rupee,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours. Qty: 228 Gms| Kcal: 695.26 | Carbs 67.94 Gms| Sugar: 16.99 Gms| Fat: 38.07 Gms| Saturated fat: 15.82 Gms| Protein: 20.20 Gms| Sodium: 1744.70 Mg Contains: Gluten, Soybean , Milk """
"Korean Spicy Chicken Burger,",299 rupee,"""Crunchy Juicy whole muscle chicken patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours Qty: 227 Gms| Kcal: 607.27 | Carbs 55.14 Gms| Sugar: 31.59 Gms| Fat: 31.59 Gms| Saturated fat: 11.58 Gms| Protein: 25.58 Gms| Sodium: 1793.87 Mg Contains: Gluten, Soybean , Milk """
